CONTAINER ID        IMAGE                                   COMMAND                  CREATED             STATUS                       PORTS                                        NAMES
80bb92d46a0d        landoop/kafka-connect-ui:0.9.3          "/run.sh"                About an hour ago   Up About an hour             0.0.0.0:8003->8000/tcp                       kafkastackdockercompose_kafka-connect-ui_1
1b129f33d526        confluentinc/cp-kafka-connect:4.0.0     "/etc/confluent/dock…"   About an hour ago   Up About an hour             0.0.0.0:8083->8083/tcp, 9092/tcp             kafkastackdockercompose_kafka-connect_1
3500eb5627e2        landoop/kafka-topics-ui:0.9.3           "/run.sh"                About an hour ago   Up About an hour             0.0.0.0:8000->8000/tcp                       kafkastackdockercompose_kafka-topics-ui_1
5f6c35c4304e        confluentinc/cp-kafka-rest:4.0.0        "/etc/confluent/dock…"   About an hour ago   Up About an hour             0.0.0.0:8082->8082/tcp                       kafkastackdockercompose_kafka-rest-proxy_1
5a63c705ad4a        landoop/schema-registry-ui:0.9.3        "/run.sh"                About an hour ago   Up About an hour             0.0.0.0:8001->8000/tcp                       kafkastackdockercompose_schema-registry-ui_1
fba40fe3ef49        confluentinc/cp-schema-registry:4.0.0   "/etc/confluent/dock…"   About an hour ago   Up About an hour             0.0.0.0:8081->8081/tcp                       kafkastackdockercompose_kafka-schema-registry_1
6ef7d789a219        elkozmon/zoonavigator-web:0.2.3         "/app/run.sh"            About an hour ago   Up About an hour (healthy)   80/tcp, 0.0.0.0:8004->8000/tcp               kafkastackdockercompose_zoonavigator-web_1
a2f9f1cc8fac        confluentinc/cp-kafka:4.0.0             "/etc/confluent/dock…"   About an hour ago   Up About an hour             0.0.0.0:9092->9092/tcp                       kafkastackdockercompose_kafka1_1
9bf14b9450d6        elkozmon/zoonavigator-api:0.2.3         "/app/run.sh"            About an hour ago   Up About an hour (healthy)   9000/tcp                                     kafkastackdockercompose_zoonavigator-api_1
3b46079a4687        zookeeper:3.4.9                         "/docker-entrypoint.…"   About an hour ago   Up About an hour             2888/tcp, 0.0.0.0:2181->2181/tcp, 3888/tcp   kafkastackdockercompose_zoo1_1
